"","V1","V2","V3"
"result.787",164319,0.45,0.8
"result.788",164356,0.65,0.9
"result.789",164533,NA,0.75
"result.790",164652,0.65,0.85
"result.791",164822,NA,0.7
"result.792",164890,NA,0.75
"result.793",164910,0.4,0.8
"result.794",165167,0.65,0.85
"result.795",165199,0.55,0.8
"result.796",165215,NA,0.55
"result.797",165418,0.5,0.85
"result.798",165638,NA,0.65
"result.799",165696,0.5,0.85
"result.800",165730,0.4,0.7
"result.801",166225,NA,0.75
"result.802",166430,0.85,0.95
"result.803",166606,0.6,0.8
"result.804",166608,NA,0.6
"result.805",167102,0.6,0.9
"result.806",167152,0.45,0.85
"result.807",167200,NA,0.65
"result.808",167388,0.75,0.95
"result.809",167449,0.5,0.85
"result.810",167759,0.5,0.9
"result.811",167804,0.7,0.8
"result.812",168168,0.6,0.75
"result.813",168313,0.85,0.95
"result.814",168430,0.5,0.9
"result.815",168776,0.4,0.75
"result.816",169123,0.85,0.95
"result.817",169180,0.5,0.85
"result.818",169986,0.85,0.95
"result.819",170289,0.85,0.95
"result.820",170294,0.8,0.95
"result.821",170734,0.45,0.75
"result.822",170738,0.55,0.8
"result.823",170746,0.4,0.8
"result.824",171227,0.8,0.95
"result.825",171362,0.5,0.8
"result.826",171854,0.8,0.9
"result.827",171976,0.5,0.8
"result.828",172626,0.4,0.8
"result.829",172679,0.45,0.75
"result.830",172803,0.9,0.95
"result.831",173172,0.55,0.85
"result.832",173318,0.55,0.8
"result.833",173335,0.5,0.8
"result.834",173336,0.6,0.8
"result.835",173380,NA,0.5
"result.836",173383,0.5,0.75
"result.837",173932,0.85,0.95
"result.838",174057,0.7,0.9
"result.839",174330,0.55,0.85
"result.840",174332,0.7,0.9
"result.841",174415,0.75,0.9
"result.842",174458,0.65,0.8
"result.843",174494,0.55,0.8
"result.844",174645,0.8,0.95
"result.845",175025,0.55,0.8
"result.846",175222,0.85,0.95
"result.847",175231,0.8,0.9
"result.848",175248,0.65,0.9
"result.849",175283,0.7,0.95
"result.850",175325,0.55,0.9
"result.851",175589,0.75,0.95
"result.852",176143,0.75,0.95
"result.853",176481,0.6,0.9
"result.854",176757,0.75,0.9
"result.855",176944,0.8,0.95
"result.856",177500,0.8,0.95
"result.857",177548,0.9,0.95
"result.858",177613,0.75,0.85
"result.859",178121,0.9,0.95
"result.860",178219,0.5,0.85
"result.861",178225,0.75,0.9
"result.862",178306,0.4,0.65
"result.863",178308,0.75,0.85
"result.864",178492,0.65,0.85
"result.865",178881,0.65,0.95
"result.866",178890,NA,0.75
"result.867",179131,0.75,0.9
"result.868",179924,0.8,0.9
"result.869",179964,0.85,0.95
"result.870",179969,0.65,0.85
"result.871",179982,0.75,0.9
"result.872",180563,0.8,0.9
"result.873",180601,0.65,0.8
